PC1,PC2,popularity
-1.5287837339187158,0.4302926673001332,54
-0.3204071701848339,-2.2232932480180114,20
0.46192228649286654,-0.025708192343791222,86
-0.40685386175074173,-0.27904683309092754,21
-0.28025110741949477,-1.6814834006476982,82
1.4557037967214403,-1.8763050415509084,21
-1.6849270278091204,-0.6259651974476848,12
-1.2505666332773107,-0.027638126764720793,85
1.37329620429724,-0.25660180401638955,96
-3.572147083113007,0.4264282950552916,66
0.8226872193976555,-1.3461729155182807,76
-0.5526495187981579,0.6054934921814873,69
-0.03641845135790137,-1.328026419302411,63
0.5679635760162355,0.19970612869779153,95
-2.1031409612370022,0.6335041615180178,77
0.027812528139581818,0.707262864317874,96
0.5191630169964521,-1.0942172876695528,72
-1.5287837339187158,0.4302926673001332,54
1.2957292282250823,0.7276429760733311,64
1.2957292282250823,0.7276429760733311,64
1.1276404359501004,-0.7004797194443388,31
-0.9214476193102625,-2.297723273917004,62
1.6028476922969297,0.019997908594848,70
1.8430346900162757,-1.222385123721749,83
1.322977728371292,0.2962495107255135,85
1.3581982714182799,-1.0985697566310286,39
-1.4075494589098387,1.0035252244833854,70
1.611578996591928,-0.4957764630364679,81
0.2016874127418673,0.9775394854976832,98
0.14616122614697286,1.4931432059718008,98
-3.0810633646306305,0.45789352662139776,75
-4.290889924100069,-0.2739731266492318,69
1.0567393221190948,0.512171784982061,83
0.8199017358123541,-1.2066988242782926,89
0.9309152478705047,-1.0913832399345202,51
1.1407585125123851,1.6653817283626695,63
-3.9044642729281738,1.1338841580582997,63
0.41691944005549925,-0.2750868327656399,92
0.7424929466195206,-1.3813968451739351,90
0.9184074982979411,1.376520988335395,95
2.170487936925584,0.5124402134789969,98
0.3872015191924549,1.212027664196046,89
0.3793399601848571,2.5972028419348905,83
-1.5022388201169858,-0.21403035570076623,92
-0.459010933766274,0.2589214850111586,79
-2.5558331169669444,0.46600327279782416,42
0.7725508326486918,-0.40172831606976805,55
-3.293960733010967,0.7306690349463548,65
0.8226872193976555,-1.3461729155182807,76
2.6447708960035694,-0.7359543087463322,57
-1.5436070731626181,-1.3864244564275798,53
-1.1751551248421754,-0.30079501923730034,25
-1.2866059491818331,-1.2943372419652714,50
-1.710444867761557,-0.22204235984060844,88
-6.0352726339768745,0.2386544997781334,88
-0.7340860051527902,3.8276829990795647,90
-6.160045792321526,-2.6071678768138495,33
-2.638972085393638,2.7567714937560726,87
-0.04227652758919172,2.3885655116099986,91
-0.69947698623568,2.623836155962897,98
-2.549931469231704,3.205347357926589,93
-7.050484156928444,-0.889822424918044,85
-4.927031127681406,0.5847361436192748,89
-2.6787501858255074,1.4080385920337444,89
-4.140112988559385,0.91480059106794,88
-0.6596521275199707,1.2553691552327748,92
-4.2881660390202585,2.055933690603237,91
-1.543612346282094,1.1354456559082333,81
