track_id_x,track_name_x,track_number,track_popularity,explicit,artist_name_x,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min,merge_key,artist_name_y,track_id_y,track_name_y,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_genre,is_chart_song
2rRJrJEo19S2J82BDsQ3F7,Falling,10,1,False,Trevor Daniel,59,927692,,1Hy76RlNvOHe6cpih1RxXq,Nicotine,2020-03-26,10,album,2.65,falling_trevor daniel,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,Falling,0.123,0.784,159382,0.43,0.0,10,0.0887,-8.756,0,0.0364,127.087,4,0.236,69,pop,True
7cS8eqcw4EQraaGYcUAANo,Lost The Game,7,58,True,Two Feet,67,2177376,,3gk5LmXVewb5mo4FWHuZI6,Pink,2020-03-13,13,album,2.86,lost the game_two feet,Two Feet,0IZRLxomNJV9mb13uVJ2Lj,Lost The Game,0.391,0.3429999999999999,171493,0.6509999999999999,0.0,7,0.25,-6.377999999999999,1,0.0933,179.662,3,0.521,63,,False
4vjpLMyL3ZO6aphdYr8XYw,i'm so tired...,14,1,False,Lauv,73,6816140,,6EgJXcGqaUvgZIF9bqPXfP,~how i'm feeling~,2020-03-06,21,album,2.7,i'm so tired..._lauv,Lauv,7COXchtUOMd6uIT6HvmRaI,i'm so tired...,0.176,0.599,162583,0.733,0.0,11,0.242,-7.058,1,0.203,102.211,4,0.534,95,,False
6iWEhoALoBFnQMNVhYY0Sc,You're Somebody Else,11,67,False,flora cash,56,346992,,0C61FN9PR7AocB3A0E4Fvw,"Baby, It's Okay",2020-03-06,12,album,3.65,you're somebody else_flora cash,flora cash,0pdKRp2sUthTPe7RLWpPqQ,You're Somebody Else,0.841,0.713,218883,0.452,0.0038,1,0.105,-9.638,1,0.0295,102.963,4,0.235,77,folk,False
6iWEhoALoBFnQMNVhYY0Sc,You're Somebody Else,11,67,False,flora cash,56,346992,,0C61FN9PR7AocB3A0E4Fvw,"Baby, It's Okay",2020-03-06,12,album,3.65,you're somebody else_flora cash,flora cash,0pdKRp2sUthTPe7RLWpPqQ,You're Somebody Else,0.841,0.713,218883,0.452,0.0038,1,0.105,-9.638,1,0.0295,102.963,4,0.235,77,indie-pop,False
6iWEhoALoBFnQMNVhYY0Sc,You're Somebody Else,11,67,False,flora cash,56,346992,,0C61FN9PR7AocB3A0E4Fvw,"Baby, It's Okay",2020-03-06,12,album,3.65,you're somebody else_flora cash,flora cash,0pdKRp2sUthTPe7RLWpPqQ,You're Somebody Else,0.841,0.713,218883,0.452,0.0038,1,0.105,-9.638,1,0.0295,102.963,4,0.235,77,indie,False
6iWEhoALoBFnQMNVhYY0Sc,You're Somebody Else,11,67,False,flora cash,56,346992,,0C61FN9PR7AocB3A0E4Fvw,"Baby, It's Okay",2020-03-06,12,album,3.65,you're somebody else_flora cash,flora cash,0pdKRp2sUthTPe7RLWpPqQ,You're Somebody Else,0.841,0.713,218883,0.452,0.0038,1,0.105,-9.638,1,0.0295,102.963,4,0.235,77,swedish,False
6FZDfxM3a3UCqtzo5pxSLZ,Without Me,9,83,True,Halsey,80,22396044,,68enXe5XcJdciSDAZr0Alr,Manic,2020-01-17,16,album,3.36,without me_halsey,Halsey,5p7ujcrUXASCNwRaWNHR1C,Without Me,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.5329999999999999,96,dance,True
6FZDfxM3a3UCqtzo5pxSLZ,Without Me,9,83,True,Halsey,80,22396044,,68enXe5XcJdciSDAZr0Alr,Manic,2020-01-17,16,album,3.36,without me_halsey,Halsey,5p7ujcrUXASCNwRaWNHR1C,Without Me,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.5329999999999999,96,electro,True
6FZDfxM3a3UCqtzo5pxSLZ,Without Me,9,83,True,Halsey,80,22396044,,68enXe5XcJdciSDAZr0Alr,Manic,2020-01-17,16,album,3.36,without me_halsey,Halsey,5p7ujcrUXASCNwRaWNHR1C,Without Me,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.5329999999999999,96,indie-pop,True
